| Problem                              | Link                                                                                                                                                                             | Difficulty | Pattern           |
| ------------------------------------ | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ---------- | ----------------- |
| Binary Search                        | [https://leetcode.com/problems/binary-search/](https://leetcode.com/problems/binary-search/)                                                                                     | Easy       | Basic             |
| First Bad Version                    | [https://leetcode.com/problems/first-bad-version/](https://leetcode.com/problems/first-bad-version/)                                                                             | Easy       | Monotonic         |
| Search Insert Position               | [https://leetcode.com/problems/search-insert-position/](https://leetcode.com/problems/search-insert-position/)                                                                   | Easy       | Lower Bound       |
| Find Peak Element                    | [https://leetcode.com/problems/find-peak-element/](https://leetcode.com/problems/find-peak-element/)                                                                             | Medium     | Binary on answer  |
| Search in Rotated Sorted Array       | [https://leetcode.com/problems/search-in-rotated-sorted-array/](https://leetcode.com/problems/search-in-rotated-sorted-array/)                                                   | Medium     | Rotated array     |
| Search in Rotated Sorted Array II    | [https://leetcode.com/problems/search-in-rotated-sorted-array-ii/](https://leetcode.com/problems/search-in-rotated-sorted-array-ii/)                                             | Medium     | Duplicates        |
| Find Minimum in Rotated Sorted Array | [https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/](https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/)                                       | Medium     | Pivot             |
| Find First and Last Position         | [https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/](https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/) | Medium     | Lower/Upper bound |
| Koko Eating Bananas                  | [https://leetcode.com/problems/koko-eating-bananas/](https://leetcode.com/problems/koko-eating-bananas/)                                                                         | Medium     | Binary on answer  |
| Capacity to Ship Packages            | [https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/](https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/)                                 | Medium     | Binary on answer  |
| Split Array Largest Sum              | [https://leetcode.com/problems/split-array-largest-sum/](https://leetcode.com/problems/split-array-largest-sum/)                                                                 | Hard       | Binary on answer  |
| Median of Two Sorted Arrays          | [https://leetcode.com/problems/median-of-two-sorted-arrays/](https://leetcode.com/problems/median-of-two-sorted-arrays/)                                                         | Hard       | Partition BS      |

easy

| Problem                                   | Link                                                                                                                                                 | Difficulty |
| ----------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------------- | ---------- |
| Koko Eating Bananas                       | [https://leetcode.com/problems/koko-eating-bananas/](https://leetcode.com/problems/koko-eating-bananas/)                                             | Medium     |
| Capacity to Ship Packages Within D Days   | [https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/](https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/)     | Medium     |
| Split Array Largest Sum                   | [https://leetcode.com/problems/split-array-largest-sum/](https://leetcode.com/problems/split-array-largest-sum/)                                     | Hard       |
| Minimum Number of Days to Make m Bouquets | [https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/](https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/) | Medium     |
| Magnetic Force Between Two Balls          | [https://leetcode.com/problems/magnetic-force-between-two-balls/](https://leetcode.com/problems/magnetic-force-between-two-balls/)                   | Medium     |
| Aggressive Cows (same pattern, not LC)    | —                                                                                                                                                    | —          |

medium

| Problem                                           | Link                                                                                                                                                                 | Difficulty |
| ------------------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ---------- |
| Find the Smallest Divisor Given a Threshold       | [https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold/](https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold/)             | Medium     |
| Minimum Speed to Arrive on Time                   | [https://leetcode.com/problems/minimum-speed-to-arrive-on-time/](https://leetcode.com/problems/minimum-speed-to-arrive-on-time/)                                     | Medium     |
| Maximum Candies Allocated to K Children           | [https://leetcode.com/problems/maximum-candies-allocated-to-k-children/](https://leetcode.com/problems/maximum-candies-allocated-to-k-children/)                     | Medium     |
| Minimize the Maximum Difference of Pairs          | [https://leetcode.com/problems/minimize-the-maximum-difference-of-pairs/](https://leetcode.com/problems/minimize-the-maximum-difference-of-pairs/)                   | Medium     |
| Minimum Limit of Balls in a Bag                   | [https://leetcode.com/problems/minimum-limit-of-balls-in-a-bag/](https://leetcode.com/problems/minimum-limit-of-balls-in-a-bag/)                                     | Medium     |
| Maximum Value at a Given Index in a Bounded Array | [https://leetcode.com/problems/maximum-value-at-a-given-index-in-a-bounded-array/](https://leetcode.com/problems/maximum-value-at-a-given-index-in-a-bounded-array/) | Medium     |
| Minimum Time to Complete Trips                    | [https://leetcode.com/problems/minimum-time-to-complete-trips/](https://leetcode.com/problems/minimum-time-to-complete-trips/)                                       | Medium     |
| Maximum Running Time of N Computers               | [https://leetcode.com/problems/maximum-running-time-of-n-computers/](https://leetcode.com/problems/maximum-running-time-of-n-computers/)                             | Hard       |

hard
| Problem                                     | Link                                                                                                                                                     | Difficulty |
| ------------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------- | ---------- |
| Median of Two Sorted Arrays                 | [https://leetcode.com/problems/median-of-two-sorted-arrays/](https://leetcode.com/problems/median-of-two-sorted-arrays/)                                 | Hard       |
| Kth Smallest Number in Multiplication Table | [https://leetcode.com/problems/kth-smallest-number-in-multiplication-table/](https://leetcode.com/problems/kth-smallest-number-in-multiplication-table/) | Hard       |
| Find K-th Smallest Pair Distance            | [https://leetcode.com/problems/find-k-th-smallest-pair-distance/](https://leetcode.com/problems/find-k-th-smallest-pair-distance/)                       | Hard       |
| Smallest Distance Pair                      | [https://leetcode.com/problems/find-k-th-smallest-pair-distance/](https://leetcode.com/problems/find-k-th-smallest-pair-distance/)                       | Hard       |
| Divide Chocolate                            | [https://leetcode.com/problems/divide-chocolate/](https://leetcode.com/problems/divide-chocolate/)                                                       | Hard       |
| Maximum Tastiness of Candy Basket           | [https://leetcode.com/problems/maximum-tastiness-of-candy-basket/](https://leetcode.com/problems/maximum-tastiness-of-candy-basket/)                     | Medium     |
| Minimize Max Distance to Gas Station        | [https://leetcode.com/problems/minimize-max-distance-to-gas-station/](https://leetcode.com/problems/minimize-max-distance-to-gas-station/)               | Hard       |

